match_order,match_id,kick_off,home_team,away_team,actual_outcome,actual_margin,p_H,p_D,p_A,market_p_H,market_p_D,market_p_A,pred_margin,n_training_matches_at_prediction,model_refit_before_match,match_rps,cumulative_avg_rps
21,3773625,2021-02-27 16:15:00,Sevilla,Barcelona,A,-2.0,0.1374771797881859,0.3362818361873352,0.5262409840244788,0.2968388589051658,0.2713955281418658,0.4317656129529684,-0.4052808634019356,81,True,0.12167379009030363,0.14883577062647355
22,3773665,2021-03-06 21:00:00,Osasuna,Barcelona,A,-2.0,0.01511276714817232,0.33267340499189635,0.6522138278599312,0.1636363636363636,0.2090909090909091,0.6272727272727273,-1.6513875277887795,82,True,0.060591808631358185,0.1448246814448774
23,3773369,2021-03-15 21:00:00,Barcelona,Huesca,H,3.0,0.9681075648772242,0.03041847414723927,0.0014739609755366153,0.8012162051113485,0.1260580162708521,0.0727257786177993,1.001810703013572,83,True,0.0005096499895089353,0.13855011485986138
24,3773597,2021-03-21 21:00:00,Real Sociedad,Barcelona,A,-5.0,0.10904198341711495,0.2786300332299946,0.6123279833528905,0.263607257203842,0.2497331910352187,0.4866595517609391,-1.0768893734479956,84,True,0.08108987331938758,0.1361559381290083
25,3773474,2021-04-05 21:00:00,Barcelona,Real Valladolid,H,1.0,0.8615909821008996,0.1146938827992703,0.023715135099830156,0.8450286617908678,0.1051591223561968,0.0498122158529353,1.2275451546593485,85,True,0.009859731934298349,0.13110408988121988
26,3773497,2021-04-10 21:00:00,Real Madrid,Barcelona,H,1.0,0.27951167273907207,0.38037470966436326,0.3401136175965646,0.3384972889233152,0.249419054996127,0.4120836560805577,0.2900912569522669,86,True,0.3173903512969361,0.13826894608951668
27,3773661,2021-04-22 22:00:00,Barcelona,Getafe,H,3.0,0.5031056935348163,0.47483731984384925,0.022056986621334474,0.7612985359643539,0.1654996817313812,0.0732017823042648,0.3982313420253935,87,True,0.12369523122816482,0.13772917887242958
28,3773689,2021-04-25 16:15:00,Villarreal,Barcelona,A,-1.0,0.05103876243958164,0.2861279865610354,0.6628332509993828,0.2091056325355407,0.2240417491452222,0.5668526183192371,-1.766494553588584,88,True,0.058143185951504577,0.13488682198239654
29,3773586,2021-04-29 19:00:00,Barcelona,Granada,A,-1.0,0.7897860777462316,0.19366496358408622,0.016548958669682125,0.8267477203647416,0.1178115501519756,0.0554407294832826,1.2396324205211382,89,True,0.7954689996477315,0.1576655177639598
30,3773695,2021-05-02 21:00:00,Valencia,Barcelona,A,-1.0,0.08287119400209494,0.2398549934290125,0.6772738125688925,0.1347747747747747,0.1715315315315315,0.6936936936936937,-1.083066538489151,90,True,0.055509913424575584,0.154260330952647
31,3773372,2021-05-08 16:15:00,Barcelona,Atlético Madrid,D,0.0,0.5418449706004825,0.3591246825368518,0.09903034686266568,0.540711462450593,0.2490118577075099,0.2102766798418972,0.7618863614191592,91,True,0.15170149088238882,0.15417778772457416
32,3773387,2021-05-11 22:00:00,Levante UD,Barcelona,D,0.0,0.042358844622616125,0.40834993787243423,0.5492912175049496,0.0789297658862876,0.1183946488294314,0.802675585284281,-0.7648991509823398,92,True,0.15175755667291638,0.15410215550420986
33,3773457,2021-05-16 18:30:00,Barcelona,Celta Vigo,A,-1.0,0.8091211161682804,0.1454060823342606,0.04547280149745903,0.7879656160458453,0.1260744985673352,0.0859598853868194,1.8192476154871648,93,True,0.7828995766552567,0.17315662281181732
