task,model,calibration,train_seconds,peak_memory_mb,accuracy,balanced_accuracy,macro_f1,mcc,log_loss,brier,rps,ece,precision_H,recall_H,f1_H,precision_D,recall_D,f1_D,precision_A,recall_A,f1_A,mae,rmse,r2,corr
C,FIGS,none,0.0,0.0,0.6,0.5416666666666666,0.4444444444444444,0.4445783095771405,0.9629351138147936,0.5689685530283591,0.20098243157055926,0.14965791267011702,0.9090909090909091,0.625,0.7407407407407407,0.0,0.0,0.0,0.42105263157894735,1.0,0.5925925925925926,,,,
C,FIGS,sigmoid,0.12291820000245934,,0.6666666666666666,0.5833333333333334,0.48888888888888893,0.5023578857529274,0.8537258912229047,0.4934027441743291,0.16640809829909792,0.13275792183136081,0.8571428571428571,0.75,0.8,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,,,,
C,FIGS,isotonic,0.12244279999868013,,0.6666666666666666,0.5833333333333334,0.48888888888888893,0.5023578857529274,0.8141339724899636,0.4685062079400425,0.1555296410466225,0.09793208189052913,0.8571428571428571,0.75,0.8,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,,,,
R,DummyPrior,none,0.0005877000003238209,,,,,,,,,,,,,,,,,,,1.762365591397849,2.3035435460480698,-0.037064404274862905,0.0
R,SVR,none,0.04720890000317013,,,,,,,,,,,,,,,,,,,1.7568108237597366,2.2892651982718264,-0.024247911664861954,0.642922065357382
R,KernelRidge,none,0.05377259999659145,,,,,,,,,,,,,,,,,,,1.766666385998432,2.31660630082433,-0.04885956085061616,0.6272639998551861
R,KernelRidgeApprox,none,0.09119149999605725,,,,,,,,,,,,,,,,,,,1.7633409566977367,2.3063700042714013,-0.03961093093215551,0.6090665851407756
R,RandomForest,none,2.265121399999771,,,,,,,,,,,,,,,,,,,1.3490464109419993,1.7725728171038344,0.3859255260061062,0.712237258788934
R,GBM,none,1.8728060000066762,,,,,,,,,,,,,,,,,,,1.235388748706626,1.5291675849454127,0.5429928007463611,0.7978342654124173
R,XGBoost,none,1.6581546000015805,,,,,,,,,,,,,,,,,,,1.2939745366573334,1.6590638772618118,0.4620534953416946,0.7663357410675187
R,LightGBM,none,0.08218640000268351,,,,,,,,,,,,,,,,,,,1.762365591397849,2.3035435460480698,-0.037064404274862905,0.0
R,FIGS,none,0.38962899999751244,,,,,,,,,,,,,,,,,,,1.67436974789916,2.082482678296957,0.15242981653285959,0.5045651358759394
L,DummyPrior,none,0.00017579999985173345,,0.5333333333333333,0.3333333333333333,0.2318840579710145,0.0,1.0361032140379471,0.6239334027055151,0.2302809573361082,0.11397849462365595,0.5333333333333333,1.0,0.6956521739130435,0.0,0.0,0.0,0.0,0.0,0.0,,,,
L,SVC,none,0.0,0.0,0.6611111111111111,0.6080246913580246,0.5794459541062802,0.4826425534275824,0.7866368940708884,0.45544622493686876,0.1501517129193639,0.12909079959481742,0.9196428571428571,0.7152777777777778,0.8046875,0.34210526315789475,0.24074074074074073,0.2826086956521739,0.5208333333333334,0.8680555555555556,0.6510416666666666,,,,
L,SVC,sigmoid,0.08559029999742052,,0.7222222222222222,0.6466049382716049,0.6089154756084324,0.5779074657344998,0.7482183327174383,0.43029278828212913,0.13815112952594208,0.09161661250871475,0.9034749034749034,0.8125,0.8555758683729433,0.7916666666666666,0.17592592592592593,0.2878787878787879,0.5330739299610895,0.9513888888888888,0.683291770573566,,,,
L,SVC,isotonic,0.08230969999567606,,0.7185185185185186,0.6435185185185185,0.6099131868664824,0.5698525843588491,0.7225345876172248,0.4157078358568606,0.133463734599294,0.04135110304473468,0.9285714285714286,0.8125,0.8666666666666667,0.5675675675675675,0.19444444444444445,0.2896551724137931,0.5298804780876494,0.9236111111111112,0.6734177215189874,,,,
L,RandomForest,none,0.0,0.0,0.6,0.4930555555555555,0.4919881931267131,0.34848547349522574,0.8781942472440318,0.4997755555555555,0.1580273148148148,0.10927777777777775,0.8666666666666667,0.8125,0.8387096774193549,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.4444444444444444,0.5,0.47058823529411764,,,,
