request,match_id,snapshot_minute,latency_ms,ok,status_code
109,3773695,30,14.8499,True,200
110,3773372,45,12.4381,True,200
111,3773387,60,13.7848,True,200
112,3773457,75,12.7697,True,200
113,3773593,90,14.567,True,200
114,3773466,0,14.7632,True,200
115,3773672,15,12.2228,True,200
116,3773587,30,13.4191,True,200
117,3773585,45,13.0822,True,200
118,3773386,60,12.7919,True,200
119,3773477,75,12.9721,True,200
120,3773656,90,11.7671,True,200
121,3773547,0,12.0884,True,200
122,3773660,15,13.435,True,200
123,3773523,30,13.0555,True,200
124,3773377,45,12.0598,True,200
125,3773571,60,12.3712,True,200
126,3773552,75,12.8743,True,200
127,3764661,90,12.7116,True,200
128,3773565,0,15.1608,True,200
129,3773403,15,12.467,True,200
130,3773631,30,13.804,True,200
131,3773526,45,14.8156,True,200
132,3773415,60,17.731,True,200
133,3773625,75,13.9678,True,200
134,3773665,90,14.5591,True,200
135,3773369,0,12.062,True,200
136,3773597,15,15.3637,True,200
137,3773474,30,13.2908,True,200
138,3773497,45,12.5994,True,200
139,3773661,60,15.3637,True,200
140,3773689,75,13.5476,True,200
141,3773586,90,12.673,True,200
142,3773695,0,11.9882,True,200
143,3773372,15,11.9274,True,200
144,3773387,30,13.7147,True,200
145,3773457,45,10.0032,True,200
146,3773593,60,10.6183,True,200
147,3773466,75,10.8971,True,200
148,3773672,90,9.8645,True,200
149,3773587,0,8.8577,True,200
150,3773585,15,8.0465,True,200
151,3773386,30,9.7501,True,200
152,3773477,45,11.4069,True,200
153,3773656,60,10.8528,True,200
154,3773547,75,11.6029,True,200
155,3773660,90,11.9687,True,200
156,3773523,0,10.6184,True,200
157,3773377,15,11.2881,True,200
158,3773571,30,11.9288,True,200
159,3773552,45,10.5627,True,200
160,3764661,60,10.4858,True,200
161,3773565,75,11.9156,True,200
162,3773403,90,10.4199,True,200
163,3773631,0,11.192,True,200
164,3773526,15,11.8829,True,200
165,3773415,30,10.4644,True,200
166,3773625,45,11.1937,True,200
167,3773665,60,13.0668,True,200
168,3773369,75,12.834,True,200
169,3773597,90,12.4933,True,200
170,3773474,0,11.1059,True,200
171,3773497,15,13.0604,True,200
172,3773661,30,12.5247,True,200
173,3773689,45,15.0755,True,200
174,3773586,60,12.5258,True,200
175,3773695,75,15.376,True,200
176,3773372,90,14.1612,True,200
177,3773387,0,10.9445,True,200
178,3773457,15,9.5753,True,200
179,3773593,30,11.8617,True,200
180,3773466,45,14.3324,True,200
181,3773672,60,12.0983,True,200
182,3773587,75,9.8373,True,200
183,3773585,90,12.5638,True,200
184,3773386,0,12.1072,True,200
185,3773477,15,15.8205,True,200
186,3773656,30,17.0708,True,200
187,3773547,45,12.8595,True,200
188,3773660,60,14.754,True,200
189,3773523,75,14.5759,True,200
190,3773377,90,12.0087,True,200
191,3773571,0,9.4119,True,200
192,3773552,15,13.2528,True,200
193,3764661,30,13.3706,True,200
194,3773565,45,14.9676,True,200
195,3773403,60,12.4705,True,200
196,3773631,75,13.1845,True,200
197,3773526,90,12.8564,True,200
198,3773415,0,13.901,True,200
199,3773625,15,11.2731,True,200
200,3773665,30,11.6406,True,200
